____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|         3|  -0,23889|  -0,29085|   0,05566|   1,37296|  -0,99885|  -0,03736|  -0,13268|  -0,22983|   0,09020|$|  -2,11111|
|         4|  -0,43889|  -0,80942|  -0,48857|  -0,99885|   2,03171|  -0,58691|  -0,22054|  -0,58691|  -0,10505|$|   0,11111|
|         5|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|$|   4,00000|
|         6|  -0,04722|   0,06955|  -0,01331|  -0,13268|  -0,22054|  -0,00329|   0,75279|  -0,45875|  -0,07347|$|  -0,52778|
|         7|   0,13611|   0,01050|   0,11683|  -0,22983|  -0,58691|  -0,72030|  -0,45875|   1,18334|  -0,22218|$|   0,02778|
|         8|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|$|   4,00000|
____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   0,80000|  -0,23889|  -0,04722|  -0,23889|  -0,43889|   0,13611|  -0,04722|   0,13611|  -0,02639|$|  -0,63889|
|         1|  -0,23889|   1,40342|  -0,14421|  -0,29085|  -0,80942|  -0,22701|   0,06955|   0,01050|   0,07310|$|  -0,62500|
|         2|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|$|   8,00000|
|         3|  -0,23889|  -0,29085|   0,05566|   1,37296|  -0,99885|  -0,03736|  -0,13268|  -0,22983|   0,09020|$|  -2,55556|
|         4|  -0,43889|  -0,80942|  -0,48857|  -0,99885|   2,03171|  -0,58691|  -0,22054|  -0,58691|  -0,10505|$|  -2,50000|
|         5|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|$|   8,00000|
|         6|  -0,04722|   0,06955|  -0,01331|  -0,13268|  -0,22054|  -0,00329|   0,75279|  -0,45875|  -0,07347|$|  -0,63889|
|         7|   0,13611|   0,01050|   0,11683|  -0,22983|  -0,58691|  -0,72030|  -0,45875|   1,18334|  -0,22218|$|  -0,62500|
|         8|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|$|   8,00000|
____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|         9|        10|        11|        12|        13|        14|        15|        16|        17|        18|        19|        20|        21|        22|        23|        24|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   0,79162|  -0,24984|  -0,04351|         0|         0|  -0,24984|  -0,44774|   0,13966|         0|         0|  -0,04351|   0,13966|  -0,02772|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,28472|
|         1|  -0,24984|   1,38236|  -0,15094|         0|         0|  -0,30156|  -0,84612|  -0,23116|         0|         0|   0,07211|   0,02203|   0,07497|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,15408|
|         2|  -0,04351|  -0,15094|   1,10845|  -0,17843|  -0,03107|   0,04887|  -0,45256|  -0,38285|  -0,31977|   0,09974|  -0,01169|   0,10822|  -0,05303|   0,09974|  -0,01980|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,07813|
|         3|         0|         0|  -0,17843|   1,39338|  -0,14592|         0|         0|  -0,30340|  -0,80009|  -0,24161|         0|         0|   0,07255|   0,00958|   0,07681|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,14280|
|         4|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|         5|  -0,24984|  -0,30156|   0,04887|         0|         0|   1,34818|  -1,04043|  -0,01525|         0|         0|  -0,13821|  -0,23602|   0,09556|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -1,13889|
|         6|  -0,44774|  -0,84612|  -0,45256|         0|         0|  -1,04043|   1,88582|  -0,73176|         0|         0|  -0,24498|  -0,62212|  -0,12090|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,61632|
